fecha,portafolio_total_mxn
2021-11-23,541968.62
2021-11-24,541917.56
2021-11-25,541866.50
2021-11-26,541815.45
2021-11-29,541764.41
2021-11-30,541713.37
2021-12-01,551661.39
2021-12-02,551609.42
2021-12-03,551557.45
2021-12-06,551505.49
2021-12-07,551453.53
2021-12-08,551401.57
2021-12-09,551349.63
2021-12-10,551297.68
2021-12-13,551245.74
2021-12-14,551193.81
2021-12-15,551141.88
2021-12-16,551089.96
2021-12-17,551038.04
2021-12-20,550986.12
2021-12-21,550934.21
2021-12-22,550882.31
2021-12-23,550830.41
2021-12-24,550778.52
2021-12-27,550726.63
2021-12-28,550674.74
2021-12-29,550622.86
2021-12-30,550570.99
2021-12-31,550519.12
2022-01-03,560466.31
2022-01-04,560413.51
2022-01-05,560360.71
2022-01-06,560307.92
2022-01-07,560255.13
2022-01-10,560202.35
2022-01-11,560149.57
2022-01-12,560096.80
2022-01-13,560044.03
2022-01-14,559991.27
2022-01-17,559938.51
2022-01-18,559885.76
2022-01-19,559833.01
2022-01-20,559780.26
2022-01-21,559727.53
2022-01-24,559674.79
2022-01-25,559622.07
2022-01-26,559569.34
2022-01-27,559516.63
2022-01-28,559463.91
2022-01-31,559411.20
2022-02-01,569357.56
2022-02-02,569303.92
2022-02-03,569250.28
2022-02-04,569196.65
2022-02-07,569143.03
2022-02-08,569089.41
2022-02-09,569035.80
2022-02-10,568982.19
2022-02-11,568928.58
2022-02-14,568874.98
2022-02-15,568821.39
2022-02-16,568767.80
2022-02-17,568714.21
2022-02-18,568660.63
2022-02-21,568607.06
2022-02-22,568553.49
2022-02-23,568499.92
2022-02-24,568446.37
2022-02-25,568392.81
2022-02-28,568339.26
2022-03-01,578284.78
2022-03-02,578230.29
2022-03-03,578175.82
2022-03-04,578121.35
2022-03-07,578066.88
2022-03-08,578012.42
2022-03-09,577957.97
2022-03-10,577903.52
2022-03-11,577849.07
2022-03-14,577794.63
2022-03-15,577740.20
2022-03-16,577685.77
2022-03-17,577631.34
2022-03-18,577576.92
2022-03-21,577522.51
2022-03-22,577468.10
2022-03-23,577413.69
2022-03-24,577359.29
2022-03-25,577304.90
2022-03-28,577250.51
2022-03-29,577196.13
2022-03-30,577141.75
2022-03-31,577087.38
2022-04-01,587032.07
2022-04-04,586976.76
2022-04-05,586921.46
2022-04-06,586866.17
2022-04-07,586810.88
2022-04-08,586755.59
2022-04-11,586700.31
2022-04-12,586645.04
2022-04-13,586589.77
2022-04-14,586534.51
2022-04-15,586479.25
2022-04-18,586423.99
2022-04-19,586368.75
2022-04-20,586313.50
2022-04-21,586258.27
2022-04-22,586203.03
2022-04-25,586147.81
2022-04-26,586092.59
2022-04-27,586037.37
2022-04-28,585982.16
2022-04-29,585926.95
2022-05-02,595870.81
