,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2022-12-08,753200.44,905671.97,1046975.35,679153.89
2022-12-09,753497.84,890955.88,1049189.78,679728.25
2022-12-12,753795.36,,1049189.78,680303.09
2022-12-13,754093.00,881945.96,1054170.71,680878.42
2022-12-14,754390.75,860922.85,1033401.28,681454.23
2022-12-15,754688.63,850111.05,1025795.18,682030.54
2022-12-16,754986.62,834493.87,1035155.52,682607.32
2022-12-19,755284.73,847858.55,1046109.68,683184.60
2022-12-20,755582.95,866328.78,1056173.98,683762.37
2022-12-21,755881.30,852513.63,1054129.02,684340.62
2022-12-22,756179.76,855216.60,1059028.54,684919.36
2022-12-23,756478.34,860772.69,1062682.20,685498.60
2022-12-26,756777.04,850561.52,1061319.21,686078.32
2022-12-27,757075.85,853264.49,1056546.22,686658.53
2022-12-28,757374.79,827886.61,1037466.71,687239.23
2022-12-29,757673.84,858370.11,1044794.63,687820.43
2022-12-30,757973.01,853865.11,1058611.95,688402.11
2023-01-02,768281.76,862396.49,1082231.53,698738.09
2023-01-03,768590.63,871461.66,1096070.36,699074.23
2023-01-04,768899.63,893996.92,1105296.24,699410.53
2023-01-05,769208.76,900339.25,1114852.88,699747.00
2023-01-06,769518.01,910639.34,1115184.76,700083.62
2023-01-09,769827.38,908995.94,1114714.93,700420.41
2023-01-10,770136.88,909778.24,1110472.08,700757.36
2023-01-11,770446.50,919235.48,1115327.51,701094.47
2023-01-12,770756.24,931730.63,1121605.04,701431.74
2023-01-13,771066.11,935190.41,1123406.94,701769.18
2023-01-16,771376.11,940775.88,1123946.61,702106.78
2023-01-17,771686.23,934750.76,1123184.70,702444.54
2023-01-18,771996.47,918149.68,1114775.20,702782.46
2023-01-19,772306.84,922063.79,1116669.59,703120.55
2023-01-20,772617.34,928638.11,1124518.72,703458.80
2023-01-23,772927.95,936536.64,1132759.35,703797.21
2023-01-24,773238.70,928836.24,1124700.72,704135.78
2023-01-25,773549.57,932719.99,1121539.19,704474.52
2023-01-26,773860.56,946005.52,1130321.74,704813.42
2023-01-27,774171.68,947042.98,1135420.25,705152.48
2023-01-30,774482.92,944323.30,1130892.87,705491.71
2023-01-31,774794.29,942536.38,1129653.50,705831.10
2023-02-01,785115.99,983520.86,1162266.71,716175.46
2023-02-02,785437.82,968614.86,1161070.57,716519.99
2023-02-03,785759.79,971582.86,1159615.26,716864.68
2023-02-06,786081.89,,1159615.26,717209.54
2023-02-07,786404.12,949833.60,1148783.06,717554.57
2023-02-08,786726.48,959727.99,1150160.51,717899.76
2023-02-09,787048.97,972122.19,1147702.10,718245.12
2023-02-10,787371.60,977543.26,1150805.43,718590.65
2023-02-13,787694.36,1012075.26,1166512.45,718936.34
2023-02-14,788017.25,1034275.72,1178035.13,719282.19
2023-02-15,788340.27,1022047.87,1175710.07,719628.22
2023-02-16,788663.43,996761.54,1165920.26,719974.41
2023-02-17,788986.72,1008374.39,1175013.95,720320.76
2023-02-20,789310.14,1013690.54,1185150.68,720667.29
2023-02-21,789633.69,1010267.59,1190363.75,721013.98
2023-02-22,789957.37,1011043.92,1189614.24,721360.83
2023-02-23,790281.19,1010964.04,1190723.32,721707.85
2023-02-24,790605.14,1011532.13,1190991.27,722055.05
2023-02-27,790929.23,1029923.71,1204549.84,722402.40
2023-02-28,791253.44,1024670.15,1208141.45,722749.93
2023-03-01,801591.35,1037473.02,1213643.12,733102.43
2023-03-02,801929.39,1027473.97,1212727.83,733455.10
2023-03-03,802267.58,1038668.33,1216276.09,733807.94
2023-03-06,802605.91,1033415.80,1220210.07,734160.95
2023-03-07,802944.38,1010295.51,1208914.89,734514.13
2023-03-08,803282.99,1012801.21,1200824.06,734867.49
2023-03-09,803621.75,1035955.92,1213287.25,735221.01
2023-03-10,803960.65,1019261.85,1211559.21,735574.70
2023-03-13,804299.69,1010458.13,1207201.74,735928.56
2023-03-14,804638.88,1009724.16,1206579.32,736282.59
2023-03-15,804978.21,998958.85,1201356.30,736636.79
2023-03-16,805317.68,1004423.69,1203977.82,736991.16
2023-03-17,805657.30,973183.26,1224231.27,737345.71
2023-03-20,805997.06,,1224231.27,737700.42
2023-03-21,806336.96,980946.52,1193659.80,738055.30
2023-03-22,806677.00,995532.07,1199461.46,738410.36
2023-03-23,807017.19,1007242.42,1201011.49,738765.58
2023-03-24,807357.53,1017610.93,1209477.22,739120.98
2023-03-27,807698.00,1033681.56,1217232.05,739476.55
2023-03-28,808038.62,1021315.86,1210389.85,739832.28
2023-03-29,808379.38,1013904.44,1210719.30,740188.19
2023-03-30,808720.29,1015793.70,1219093.70,740544.27
2023-03-31,809061.34,1011962.80,1205814.49,740900.53
2023-04-03,819415.80,1018071.64,1218276.40,751004.03
2023-04-04,819770.42,988569.09,1218584.32,751107.56
2023-04-05,820125.19,958598.27,1204830.20,751211.10
2023-04-06,820480.11,,1204830.20,751314.65
2023-04-07,820835.19,,1204830.20,751418.21
2023-04-10,821190.42,978110.55,1204830.22,751521.79
2023-04-11,821545.81,993252.01,1217057.53,751625.39
2023-04-12,821901.34,1037896.10,1230228.57,751729.00
2023-04-13,822257.04,1062403.47,1244964.14,751832.62
2023-04-14,822612.88,1006988.66,1240179.82,751936.26
2023-04-17,822968.88,980764.23,1221782.07,752039.91
2023-04-18,823325.04,991066.68,1217743.56,752143.58
2023-04-19,823681.34,990598.41,1217966.18,752247.26
2023-04-20,824037.81,1005271.60,1219813.77,752350.95
2023-04-21,824394.42,1014637.52,1227572.52,752454.66
2023-04-24,824751.19,1018852.09,1230482.52,752558.39
2023-04-25,825108.12,1005271.60,1225011.66,752662.12
2023-04-26,825465.20,1011359.40,1224690.99,752765.88
2023-04-27,825822.43,1001837.40,1225375.03,752869.64
2023-04-28,826179.82,966247.12,1219332.00,752973.42
2023-05-01,836541.69,,1229332.00,763078.60
2023-05-02,836903.72,963603.17,1217694.74,763183.78
2023-05-03,837265.91,973125.10,1230517.38,763288.99
2023-05-04,837628.25,941905.49,1216961.50,763394.20
2023-05-05,837990.75,927856.65,1214127.38,763499.44
2023-05-08,838353.40,926295.68,1214064.39,763604.68
2023-05-09,838716.21,928481.09,1203729.01,763709.94
2023-05-10,839079.18,934881.07,1215555.88,763815.22
2023-05-11,839442.31,926295.68,1212440.20,763920.51
2023-05-12,839805.59,930978.68,1204827.96,764025.81
2023-05-15,840169.03,933320.10,1216621.24,764131.13
2023-05-16,840532.63,926451.77,1215552.08,764236.46
2023-05-17,840896.38,927076.20,1216695.62,764341.81
2023-05-18,841260.30,928637.18,1214751.97,764447.17
2023-05-19,841624.37,936910.39,1222864.20,764552.55
2023-05-22,841988.59,944403.07,1226075.30,764657.94
2023-05-23,842352.98,916149.32,1214763.27,764763.34
2023-05-24,842717.52,938627.45,1227462.40,764868.76
2023-05-25,843082.22,946432.32,1223259.11,764974.20
2023-05-26,843447.08,950490.88,1225041.09,765079.65
2023-05-29,843812.10,957515.29,1227539.63,765185.11
2023-05-30,844177.27,936754.30,1202727.82,765290.59
2023-05-31,844542.60,936129.86,1202813.53,765396.08
2023-06-01,854909.07,957681.11,1206782.28,775502.97
2023-06-02,855275.70,966890.93,1228085.91,775609.87
2023-06-05,855642.48,978598.27,1221653.54,775716.79
2023-06-06,856009.43,968764.09,1228018.00,775823.72
2023-06-07,856376.53,984686.07,1222618.98,775930.66
2023-06-08,856743.78,974383.62,1217485.46,776037.62
2023-06-09,857111.20,965173.80,1218839.74,776144.59
2023-06-12,857478.77,968139.73,1213413.06,776251.58
2023-06-13,857846.50,972198.29,1220225.27,776358.59
2023-06-14,858214.38,986090.96,1221977.81,776465.61
2023-06-15,858582.43,1010910.59,1230714.26,776572.64
2023-06-16,858950.63,1019652.07,1231192.98,776679.69
2023-06-19,859318.99,1007320.30,1216800.59,776786.75
2023-06-20,859687.51,1007476.39,1226317.06,776893.83
2023-06-21,860056.19,993271.46,1208843.31,777000.92
2023-06-22,860425.02,995612.96,1201302.77,777108.03
2023-06-23,860794.02,980159.24,1206930.85,777215.15
2023-06-26,861163.17,1005759.32,1218569.57,777322.28
2023-06-27,861532.48,1005759.32,1233869.03,777429.44
2023-06-28,861901.94,1004042.26,1246570.61,777536.60
2023-06-29,862271.57,1023554.54,1249316.21,777643.78
2023-06-30,862641.35,1009037.36,1240103.48,777750.98
2023-07-03,873010.61,1060100.47,1268914.17,787713.97
2023-07-04,873380.02,1058333.57,1265638.63,787676.96
2023-07-05,873749.58,1056887.98,1271598.22,787639.96
2023-07-06,874119.30,1055924.31,1308133.84,787602.95
2023-07-07,874489.18,1050141.94,1313393.90,787565.95
2023-07-10,874859.22,1045002.02,1299287.08,787528.95
2023-07-11,875229.41,1046929.45,1322526.24,787491.95
2023-07-12,875599.76,1026851.85,1305753.46,787454.95
2023-07-13,875970.26,1014483.97,1332743.33,787417.96
2023-07-14,876340.92,984447.84,1350201.32,787380.96
2023-07-17,876711.74,963727.71,1349082.19,787343.97
2023-07-18,877082.72,973846.85,1341477.92,787306.98
2023-07-19,877453.85,978022.94,1342191.24,787269.99
2023-07-20,877825.14,1001794.94,1356865.57,787233.00
2023-07-21,878196.58,1006934.78,1361340.41,787196.02
2023-07-24,878568.19,997136.86,1330370.94,787159.04
2023-07-25,878939.95,999064.37,1334977.23,787122.05
2023-07-26,879311.87,1004041.79,1352941.36,787085.07
2023-07-27,879683.94,1008895.41,1345711.90,787048.10
2023-07-28,880056.18,1003071.05,1350879.35,787011.12
2023-07-31,880428.57,1005983.19,1338121.42,786974.14
2023-08-01,890805.03,1020351.48,1339735.59,796936.70
2023-08-02,891181.65,994303.97,1336661.27,796899.26
2023-08-03,891558.43,980713.99,1317583.61,796861.82
2023-08-04,891935.37,1009673.57,1330299.93,796824.38
2023-08-07,892312.47,1006437.87,1332409.76,796786.95
2023-08-08,892689.73,994789.30,1344108.08,796749.51
2023-08-09,893067.14,989126.79,1323660.72,796712.08
2023-08-10,893444.72,979096.07,1321611.41,796674.65
2023-08-11,893822.46,983626.14,1304858.91,796637.22
2023-08-14,894200.35,992200.71,1309012.68,796599.80
2023-08-15,894578.41,1009188.24,1297681.29,796562.37
2023-08-16,894956.63,998186.78,1284352.34,796524.95
2023-08-17,895335.00,990421.09,1300467.83,796487.53
2023-08-18,895713.54,1022131.11,1289018.74,796450.11
2023-08-21,896092.24,1039442.11,1303226.90,796412.69
2023-08-22,896471.09,1029249.61,1290286.13,796375.27
2023-08-23,896850.11,1032485.39,1293076.30,796337.86
2023-08-24,897229.28,988317.91,1290275.29,796300.44
2023-08-25,897608.62,985891.09,1278221.07,796263.03
2023-08-28,897988.12,993333.23,1289495.90,796225.62
2023-08-29,898367.78,993171.45,1286115.63,796188.22
2023-08-30,898747.60,993495.01,1281399.37,796150.81
2023-08-31,899127.57,976831.11,1278434.79,796113.41
2023-09-01,909513.24,990066.81,1292119.94,806075.53
2023-09-04,909899.07,993302.50,1288003.52,806037.66
2023-09-05,910285.06,990713.99,1290541.33,805999.79
2023-09-06,910671.22,990552.14,1281585.21,805961.93
2023-09-07,911057.54,990713.99,1277954.88,805924.06
2023-09-08,911444.02,987639.99,1285476.32,805886.20
2023-09-11,911830.67,986183.92,1277608.63,805848.34
2023-09-12,912217.48,1003171.45,1283268.29,805810.48
2023-09-13,912604.45,992170.07,1268164.70,805772.62
2023-09-14,912991.59,987639.99,1272291.12,805734.76
2023-09-15,913378.90,979712.53,1278135.83,805696.91
2023-09-18,913766.37,984889.71,1271066.69,805659.06
2023-09-19,914154.00,993302.50,1264890.70,805621.21
2023-09-20,914541.80,1003818.56,1274501.96,805583.36
2023-09-21,914929.76,993787.84,1274619.78,805545.51
2023-09-22,915317.89,1011907.88,1270387.23,805507.66
2023-09-25,915706.18,1000906.50,1266193.40,805469.82
2023-09-26,916094.63,1017893.95,1269942.90,805431.98
2023-09-27,916483.25,1004303.97,1272064.00,805394.14
2023-09-28,916872.04,998965.01,1277774.00,805356.30
2023-09-29,917260.99,991684.66,1272619.06,805318.46
2023-10-02,927653.68,1004288.17,1283224.47,815280.16
2023-10-03,928046.55,987113.75,1276934.12,815241.86
2023-10-04,928439.58,1001286.81,1276122.01,815203.55
2023-10-05,928832.77,1033801.50,1281650.04,815165.26
2023-10-06,929226.13,1073986.40,1280884.51,815126.96
2023-10-09,929619.66,1064315.39,1274372.91,815088.66
2023-10-10,930013.35,1070318.11,1282967.04,815050.37
2023-10-11,930407.22,1062814.71,1284669.12,815012.08
2023-10-12,930801.24,1043139.13,1282582.56,814973.79
2023-10-13,931195.44,1020295.45,1283289.50,814935.50
2023-10-16,931589.80,1018794.77,1285139.92,814897.21
2023-10-17,931984.33,1022296.33,1286916.68,814858.93
2023-10-18,932379.03,1072819.19,1280674.98,814820.64
2023-10-19,932773.89,1084157.70,1287810.61,814782.36
2023-10-20,933168.92,1083990.96,1285108.96,814744.08
2023-10-23,933564.12,1092995.05,1274627.57,814705.81
2023-10-24,933959.48,1108835.52,1271840.69,814667.53
2023-10-25,934355.02,1105667.42,1268556.80,814629.26
2023-10-26,934750.72,1095496.13,1262960.97,814590.98
2023-10-27,935146.58,1082823.75,1262980.97,814552.71
2023-10-30,935542.62,1090343.82,1258187.09,814514.44
2023-10-31,935938.82,1087320.22,1258485.16,814476.18
2023-11-01,946339.09,1096144.35,1273124.47,824437.44
2023-11-02,946739.53,,1273124.47,824398.71
2023-11-03,947140.14,1162327.57,1286648.08,824359.98
2023-11-06,947540.91,1155608.49,1278844.02,824321.25
2023-11-07,947941.86,1173246.11,1276056.20,824282.52
2023-11-08,948342.97,1183156.84,1278816.82,824243.80
2023-11-09,948744.26,1165519.14,1278547.13,824205.07
2023-11-10,949145.72,1172910.17,1278971.77,824166.35
2023-11-13,949547.34,1169886.57,1275997.13,824127.63
2023-11-14,949949.14,1178957.38,1259926.15,824088.91
2023-11-15,950351.10,1204154.08,1251657.76,824050.19
2023-11-16,950753.24,1196931.02,1264028.30,824011.48
2023-11-17,951155.54,1216416.46,1262716.17,823972.77
2023-11-20,951558.02,,1262716.17,823934.05
2023-11-21,951960.66,1217424.27,1269107.08,823895.35
2023-11-22,952363.48,1209529.33,1258162.18,823856.64
2023-11-23,952766.47,1235397.91,1257307.98,823817.93
2023-11-24,953169.62,1237917.61,1256222.18,823779.23
2023-11-27,953572.95,1214904.66,1259580.69,823740.53
2023-11-28,953976.45,1186012.47,1257890.37,823701.83
2023-11-29,954380.12,1193907.42,1251893.03,823663.13
2023-11-30,954783.96,1244972.62,1260711.74,823624.43
2023-12-01,965191.86,1284872.70,1264807.97,833585.27
2023-12-04,965599.93,1307549.71,1265115.91,833546.10
2023-12-05,966008.17,1296799.14,1262337.34,833506.94
2023-12-06,966416.59,1313260.90,1258363.45,833467.78
2023-12-07,966825.18,1336273.93,1259996.52,833428.63
2023-12-08,967233.94,1353575.61,1258243.46,833389.47
2023-12-11,967642.87,1350384.04,1277585.15,833350.32
2023-12-12,968051.98,,1277585.15,833311.16
2023-12-13,968461.26,1363654.31,1274123.15,833272.01
2023-12-14,968870.71,1360630.71,1267769.39,833232.87
2023-12-15,969280.34,1362814.39,1257795.22,833193.72
2023-12-18,969690.14,1357271.17,1262207.75,833154.58
2023-12-19,970100.11,1355423.35,1266253.56,833115.43
2023-12-20,970510.26,1295455.31,1268213.06,833076.29
2023-12-21,970920.58,1325859.29,1273052.96,833037.15
2023-12-22,971331.07,1346352.55,1275332.90,832998.02
2023-12-25,971741.73,,1275332.90,832958.88
2023-12-26,972152.57,1346016.61,1282888.93,832919.75
2023-12-27,972563.59,1358782.97,1295740.65,832880.62
2023-12-28,972974.78,1365837.99,1290504.17,832841.49
2023-12-29,973386.14,1372221.13,1292284.34,832802.36
2024-01-01,983800.50,,1302284.34,842762.76
2024-01-02,984215.03,1355903.46,1336448.01,842723.17
2024-01-03,984629.74,1326673.09,1317514.03,842683.58
2024-01-04,985044.62,1308310.64,1304564.33,842643.99
2024-01-05,985459.68,1312425.27,1296482.59,842604.40
2024-01-08,985874.91,1321813.79,1302184.74,842564.81
2024-01-09,986290.32,1318164.42,1303041.37,842525.23
2024-01-10,986705.90,1325044.94,1303922.47,842485.64
2024-01-11,987121.66,1324813.87,1297509.58,842446.06
2024-01-12,987537.59,1314218.54,1299765.96,842406.48
2024-01-15,987953.70,1324974.82,1301287.43,842366.91
2024-01-16,988369.98,1319698.77,1302924.72,842327.33
2024-01-17,988786.44,1276430.43,1298615.05,842287.76
2024-01-18,989203.08,1293628.61,1311712.61,842248.19
2024-01-19,989619.89,1303175.52,1311201.79,842208.62
2024-01-22,990036.87,1324034.94,1319573.89,842169.05
2024-01-23,990454.03,1352160.27,1335608.64,842129.48
2024-01-24,990871.37,1338810.54,1324407.54,842089.92
2024-01-25,991288.88,1346707.23,1347751.34,842050.36
2024-01-26,991706.57,1340522.19,1359240.74,842010.79
2024-01-29,992124.44,1346599.15,1382913.86,841971.24
2024-01-30,992542.48,1340125.35,1371132.91,841931.68
2024-01-31,992960.70,1356110.37,1382427.83,841892.12
2024-02-01,1003381.51,1398072.34,1413595.13,851852.10
2024-02-02,1003802.50,1389131.58,1406161.49,851812.08
2024-02-05,1004223.67,,1406161.49,851772.06
2024-02-06,1004645.02,1415321.98,1411711.17,851732.04
2024-02-07,1005066.54,1421268.15,1422062.37,851692.03
2024-02-08,1005488.24,1412798.21,1429010.78,851652.02
2024-02-09,1005910.12,1405956.18,1426487.98,851612.00
2024-02-12,1006332.17,1417006.95,1430111.26,851571.99
2024-02-13,1006754.40,1410265.67,1426000.14,851531.99
2024-02-14,1007176.81,1425070.91,1430568.94,851491.98
2024-02-15,1007599.40,1427490.86,1425785.66,851451.98
2024-02-16,1008022.16,1427942.22,1423356.99,851411.97
2024-02-19,1008445.10,1459115.30,1435528.01,851371.97
2024-02-20,1008868.22,1452860.38,1435170.70,851331.97
2024-02-21,1009291.51,1444657.36,1425502.80,851291.98
2024-02-22,1009714.98,1482414.95,1442799.68,851251.98
2024-02-23,1010138.63,1481989.42,1440228.64,851211.99
2024-02-26,1010562.46,1485893.16,1432695.69,851172.00
2024-02-27,1010986.47,1451276.49,1436582.63,851132.01
2024-02-28,1011410.65,1432999.10,1432900.80,851092.02
2024-02-29,1011835.01,1445837.31,1431837.48,851052.04
2024-03-01,1022260.83,1472315.50,1445392.88,861011.58
2024-03-04,1022686.82,1574367.01,1468321.93,860971.13
2024-03-05,1023112.99,1581870.82,1486544.78,860930.68
2024-03-06,1023539.34,1582172.33,1475957.08,860890.24
2024-03-07,1023965.86,1611500.01,1484434.77,860849.79
2024-03-08,1024392.56,1587949.89,1471306.27,860809.35
2024-03-11,1024819.44,1612015.80,1486081.22,860768.91
2024-03-12,1025246.50,1613771.87,1492441.85,860728.47
2024-03-13,1025673.74,1624361.73,1483459.34,860688.03
2024-03-14,1026101.15,1599632.27,1489709.52,860647.59
2024-03-15,1026528.74,1576879.30,1461353.81,860607.16
2024-03-18,1026956.51,,1461353.81,860566.72
2024-03-19,1027384.46,1577221.44,1470599.18,860526.29
2024-03-20,1027812.59,1569574.97,1475149.18,860485.87
2024-03-21,1028240.90,1581794.33,1479297.33,860445.44
2024-03-22,1028669.38,1601055.23,1480982.95,860405.01
2024-03-25,1029098.04,1560382.39,1458022.41,860364.59
2024-03-26,1029526.88,1551391.70,1460414.37,860324.17
2024-03-27,1029955.90,1564868.71,1475085.41,860283.75
2024-03-28,1030385.10,,1475085.41,860243.33
2024-03-29,1030814.48,,1475085.41,860202.92
2024-04-01,1041246.71,1582603.72,1489889.81,870162.04
2024-04-02,1041679.13,1596299.81,1500687.24,870121.15
2024-04-03,1042111.72,1574881.79,1505917.36,870080.28
2024-04-04,1042544.50,1556866.94,1497733.76,870039.40
2024-04-05,1042977.45,1555237.86,1499327.60,869998.52
2024-04-08,1043410.59,1579289.12,1518737.02,869957.65
2024-04-09,1043843.90,1577082.53,1515549.66,869916.78
2024-04-10,1044277.39,1549529.14,1516199.01,869875.91
2024-04-11,1044711.07,1519607.06,1511020.19,869835.04
2024-04-12,1045144.92,1585224.87,1509447.85,869794.17
2024-04-15,1045578.95,1562042.36,1495241.18,869753.31
2024-04-16,1046013.17,1538423.95,1507006.70,869712.45
2024-04-17,1046447.56,1528570.91,1524831.21,869671.59
2024-04-18,1046882.13,1536906.86,1518820.37,869630.73
2024-04-19,1047316.89,1523636.17,1514770.47,869589.87
2024-04-22,1047751.83,1550119.46,1517288.56,869549.02
2024-04-23,1048186.94,1552780.95,1524745.29,869508.17
2024-04-24,1048622.24,1545233.63,1518488.02,869467.32
2024-04-25,1049057.72,1528384.69,1522372.64,869426.47
2024-04-26,1049493.38,1523241.25,1528684.17,869385.62
2024-04-29,1049929.21,1513673.75,1526824.72,869344.78
2024-04-30,1050365.24,1450438.86,1526719.70,869303.93
2024-05-01,1060801.80,,1536719.70,879262.62
2024-05-02,1061238.54,1441486.55,1541647.07,879221.31
2024-05-03,1061675.46,1429892.68,1538317.13,879180.01
2024-05-06,1062112.56,1420814.96,1536031.82,879138.70
2024-05-07,1062549.84,1439633.43,1541692.71,879097.40
2024-05-08,1062987.30,1491232.02,1533354.14,879056.10
2024-05-09,1063424.94,1491772.56,1533913.86,879014.80
2024-05-10,1063862.76,1493538.75,1524812.56,878973.50
2024-05-13,1064300.76,1499154.47,1526029.07,878932.21
2024-05-14,1064738.95,1492298.73,1526301.70,878890.91
2024-05-15,1065177.31,1544336.79,1532142.30,878849.62
2024-05-16,1065615.85,1555889.15,1537512.82,878808.33
2024-05-17,1066054.57,1558300.78,1541267.69,878767.04
2024-05-20,1066493.48,1594576.15,1540156.20,878725.76
2024-05-21,1066932.56,1586073.85,1533864.91,878684.48
2024-05-22,1067371.83,1565512.84,1536733.25,878643.19
2024-05-23,1067811.27,1566745.28,1547470.51,878601.91
2024-05-24,1068250.90,1543162.35,1544451.06,878560.64
2024-05-27,1068690.71,1554691.09,1543528.41,878519.36
2024-05-28,1069130.70,1541896.70,1537446.54,878478.09
2024-05-29,1069570.87,1538777.33,1551427.87,878436.81
2024-05-30,1070011.22,1554590.49,1553986.43,878395.54
2024-05-31,1070451.75,1586960.22,1554405.22,878354.28
2024-06-03,1080891.94,1504913.62,1556521.05,888312.54
2024-06-04,1081332.31,1567709.92,1561554.06,888270.81
2024-06-05,1081772.86,1573477.72,1580086.03,888229.07
2024-06-06,1082213.58,1557088.65,1576773.07,888187.34
2024-06-07,1082654.49,1540362.84,1567526.91,888145.62
2024-06-10,1083095.57,1545999.80,1563457.66,888103.89
2024-06-11,1083536.84,1498464.56,1560998.70,888062.17
2024-06-12,1083978.29,1540773.39,1573225.84,888020.44
2024-06-13,1084419.91,1517351.09,1569724.07,887978.72
2024-06-14,1084861.72,1511844.27,1566934.57,887937.01
2024-06-17,1085303.70,1512369.79,1571947.02,887895.29
2024-06-18,1085745.87,1497820.92,1573854.98,887853.57
2024-06-19,1086188.21,1562617.48,1581378.65,887811.86
2024-06-20,1086630.74,1541367.92,1582112.50,887770.15
2024-06-21,1087073.44,1539725.93,1570182.47,887728.44
2024-06-24,1087516.33,1550737.86,1572928.96,887686.74
2024-06-25,1087959.40,1519094.69,1569993.65,887645.03
2024-06-26,1088402.65,1550128.22,1564688.62,887603.33
2024-06-27,1088846.07,1535287.17,1567750.09,887561.63
2024-06-28,1089289.68,1513366.24,1566300.05,887519.93
2024-07-01,1099734.79,1567975.20,1598507.36,897477.76
2024-07-02,1100180.07,1548370.49,1594545.66,897435.60
2024-07-03,1100625.54,1566241.20,1595635.67,897393.44
2024-07-04,1101071.19,1550306.60,1599507.22,897351.28
2024-07-05,1101517.01,1567502.49,1607588.11,897309.12
2024-07-08,1101963.02,1582085.68,1616428.55,897266.96
2024-07-09,1102409.21,1586478.57,1615152.37,897224.81
2024-07-10,1102855.58,1589410.05,1635366.15,897182.65
2024-07-11,1103302.13,1583024.16,1632838.06,897140.50
2024-07-12,1103748.86,1586578.78,1642721.51,897098.35
2024-07-15,1104195.77,1560214.13,1630047.13,897056.21
2024-07-16,1104642.86,1566034.98,1625472.14,897014.06
2024-07-17,1105090.14,1538645.89,1606173.58,896971.92
2024-07-18,1105537.59,1557442.20,1600729.79,896929.78
2024-07-19,1105985.23,1537530.33,1609485.55,896887.64
2024-07-22,1106433.04,1560252.48,1625098.41,896845.50
2024-07-23,1106881.04,1579176.15,1620076.69,896803.37
2024-07-24,1107329.22,1554857.42,1615423.77,896761.24
2024-07-25,1107777.58,1523031.93,1601006.37,896719.10
2024-07-26,1108226.12,1526625.88,1593919.64,896676.98
2024-07-29,1108674.85,1510032.46,1602575.51,896634.85
2024-07-30,1109123.75,1534224.01,1598863.88,896592.72
2024-07-31,1109572.84,1542990.81,1621042.25,896550.60
2024-08-01,1120023.35,1550106.74,1641071.44,906508.01
2024-08-02,1120474.04,1529679.83,1632680.20,906465.42
2024-08-05,1120924.91,1532051.17,1651846.11,906422.83
2024-08-06,1121375.96,1541319.60,1650982.68,906380.25
2024-08-07,1121827.20,1575014.22,1675395.05,906337.67
2024-08-08,1122278.61,1595382.68,1712929.78,906295.09
2024-08-09,1122730.21,1591606.41,1713941.31,906252.51
2024-08-12,1123181.99,1587243.42,1707391.47,906209.93
2024-08-13,1123633.95,1604523.65,1717214.34,906167.36
2024-08-14,1124086.09,1614093.67,1723195.51,906124.78
2024-08-15,1124538.41,1607995.50,1734542.63,906082.21
2024-08-16,1124990.92,1600426.84,1724836.36,906039.64
2024-08-19,1125443.61,1601454.56,1721446.98,905997.08
2024-08-20,1125896.48,1597206.86,1716731.34,905954.51
2024-08-21,1126349.53,1581214.16,1692884.32,905911.95
2024-08-22,1126802.77,1563770.81,1683817.04,905869.39
2024-08-23,1127256.18,1550048.97,1680037.62,905826.83
2024-08-26,1127709.78,1511239.10,1663371.36,905784.27
2024-08-27,1128163.57,1485006.85,1641680.73,905741.72
2024-08-28,1128617.53,1482847.06,1650378.74,905699.16
2024-08-29,1129071.68,1522501.62,1656964.05,905656.61
2024-08-30,1129526.01,1509180.94,1662998.13,905614.06
2024-09-02,1139979.64,1544447.53,1681405.30,915571.05
2024-09-03,1140433.45,1522826.93,1670208.89,915528.03
2024-09-04,1140887.44,1536603.98,1679791.86,915485.02
2024-09-05,1141341.61,1532706.37,1681943.73,915442.01
2024-09-06,1141795.96,1529666.95,1692093.63,915399.00
2024-09-09,1142250.50,1538092.96,1705381.35,915356.00
2024-09-10,1142705.21,1528614.68,1678436.38,915312.99
2024-09-11,1143160.11,1522061.85,1705331.56,915269.99
2024-09-12,1143615.18,1556768.84,1718985.64,915226.99
2024-09-13,1144070.44,1528068.07,1710067.80,915183.99
2024-09-16,1144525.88,,1710067.80,915140.99
2024-09-17,1144981.50,1537356.87,1724954.77,915098.00
2024-09-18,1145437.30,1526979.16,1720710.17,915055.01
2024-09-19,1145893.28,1524399.01,1707395.13,915012.02
2024-09-20,1146349.44,1512450.87,1691340.17,914969.03
2024-09-23,1146805.79,1508192.28,1706672.69,914926.04
2024-09-24,1147262.32,1522509.94,1717484.53,914883.06
2024-09-25,1147719.03,1521348.28,1717036.27,914840.07
2024-09-26,1148175.92,1547271.27,1727384.36,914797.09
2024-09-27,1148632.99,1546706.25,1733618.13,914754.12
2024-09-30,1149090.25,1525309.82,1729128.65,914711.14
2024-10-01,1159546.25,,1739128.65,924667.70
2024-10-02,1160002.43,1537821.45,1748751.62,924624.25
2024-10-03,1160458.79,1539513.26,1751201.43,924580.81
2024-10-04,1160915.34,1529313.91,1770973.72,924537.38
2024-10-07,1161372.06,1518876.81,1772643.07,924493.94
2024-10-08,1161828.96,1498946.27,1767004.60,924450.51
2024-10-09,1162286.04,1498857.78,1759896.76,924407.07
2024-10-10,1162743.30,1506164.66,1765044.90,924363.64
2024-10-11,1163200.74,1522282.21,1774249.09,924320.22
