fecha,portafolio_total_mxn
2022-01-07,594559.29
2022-01-10,594693.00
2022-01-11,594826.73
2022-01-12,594960.50
2022-01-13,595094.29
2022-01-14,595228.12
2022-01-17,595361.97
2022-01-18,595495.86
2022-01-19,595629.78
2022-01-20,595763.72
2022-01-21,595897.70
2022-01-24,596031.71
2022-01-25,596165.74
2022-01-26,596299.81
2022-01-27,596433.91
2022-01-28,596568.03
2022-01-31,596702.19
2022-02-01,606841.36
2022-02-02,606980.55
2022-02-03,607119.78
2022-02-04,607259.04
2022-02-07,607398.34
2022-02-08,607537.66
2022-02-09,607677.02
2022-02-10,607816.41
2022-02-11,607955.83
2022-02-14,608095.28
2022-02-15,608234.77
2022-02-16,608374.28
2022-02-17,608513.83
2022-02-18,608653.41
2022-02-21,608793.03
2022-02-22,608932.67
2022-02-23,609072.35
2022-02-24,609212.06
2022-02-25,609351.80
2022-02-28,609491.57
2022-03-01,619642.01
2022-03-02,619792.49
2022-03-03,619943.00
2022-03-04,620093.55
2022-03-07,620244.13
2022-03-08,620394.76
2022-03-09,620545.41
2022-03-10,620696.11
2022-03-11,620846.84
2022-03-14,620997.61
2022-03-15,621148.42
2022-03-16,621299.26
2022-03-17,621450.14
2022-03-18,621601.05
2022-03-21,621752.00
2022-03-22,621902.99
2022-03-23,622054.02
2022-03-24,622205.08
2022-03-25,622356.18
2022-03-28,622507.31
2022-03-29,622658.49
2022-03-30,622809.69
2022-03-31,622960.94
2022-04-01,633125.26
2022-04-04,633289.63
2022-04-05,633454.04
2022-04-06,633618.49
2022-04-07,633782.98
2022-04-08,633947.52
2022-04-11,634112.09
2022-04-12,634276.72
2022-04-13,634441.38
2022-04-14,634606.09
2022-04-15,634770.84
2022-04-18,634935.63
2022-04-19,635100.47
2022-04-20,635265.34
2022-04-21,635430.26
2022-04-22,635595.23
2022-04-25,635760.24
2022-04-26,635925.28
2022-04-27,636090.38
2022-04-28,636255.51
2022-04-29,636420.69
2022-05-02,646599.78
2022-05-03,646778.92
2022-05-04,646958.10
2022-05-05,647137.34
2022-05-06,647316.63
2022-05-09,647495.96
2022-05-10,647675.35
2022-05-11,647854.79
2022-05-12,648034.27
2022-05-13,648213.81
2022-05-16,648393.39
2022-05-17,648573.03
2022-05-18,648752.71
2022-05-19,648932.44
2022-05-20,649112.23
2022-05-23,649292.06
2022-05-24,649471.95
2022-05-25,649651.88
2022-05-26,649831.86
2022-05-27,650011.90
2022-05-30,650191.98
2022-05-31,650372.11
2022-06-01,660565.07
2022-06-02,660758.08
2022-06-03,660951.15
2022-06-06,661144.28
2022-06-07,661337.46
2022-06-08,661530.70
2022-06-09,661723.99
2022-06-10,661917.35
2022-06-13,662110.75
2022-06-14,662304.22
2022-06-15,662497.74
2022-06-16,662691.32
2022-06-17,662884.95
2022-06-20,663078.64
2022-06-21,663272.39
2022-06-22,663466.20
2022-06-23,663660.06
2022-06-24,663853.97
2022-06-27,664047.95
2022-06-28,664241.98
2022-06-29,664436.07
2022-06-30,664630.21
2022-07-01,674839.50
2022-07-04,675048.85
2022-07-05,675258.26
2022-07-06,675467.74
2022-07-07,675677.29
2022-07-08,675886.90
2022-07-11,676096.57
2022-07-12,676306.31
2022-07-13,676516.12
2022-07-14,676725.99
2022-07-15,676935.93
2022-07-18,677145.93
2022-07-19,677355.99
2022-07-20,677566.13
2022-07-21,677776.32
2022-07-22,677986.58
2022-07-25,678196.91
2022-07-26,678407.30
2022-07-27,678617.76
2022-07-28,678828.28
2022-07-29,679038.87
2022-08-01,689263.48
2022-08-02,689488.17
2022-08-03,689712.92
2022-08-04,689937.75
2022-08-05,690162.66
2022-08-08,690387.63
2022-08-09,690612.69
2022-08-10,690837.81
2022-08-11,691063.01
2022-08-12,691288.28
2022-08-15,691513.62
2022-08-16,691739.04
2022-08-17,691964.53
2022-08-18,692190.09
2022-08-19,692415.73
2022-08-22,692641.44
2022-08-23,692867.23
2022-08-24,693093.09
2022-08-25,693319.02
2022-08-26,693545.03
2022-08-29,693771.11
2022-08-30,693997.26
2022-08-31,694223.49
2022-09-01,704468.46
2022-09-02,704713.51
2022-09-05,704958.65
2022-09-06,705203.87
2022-09-07,705449.18
2022-09-08,705694.58
2022-09-09,705940.06
2022-09-12,706185.62
2022-09-13,706431.27
2022-09-14,706677.01
2022-09-15,706922.83
2022-09-16,707168.74
2022-09-19,707414.73
2022-09-20,707660.81
2022-09-21,707906.98
2022-09-22,708153.22
2022-09-23,708399.56
2022-09-26,708645.98
2022-09-27,708892.49
2022-09-28,709139.08
2022-09-29,709385.76
2022-09-30,709632.52
2022-10-03,719897.73
2022-10-04,720163.03
2022-10-05,720428.44
2022-10-06,720693.94
2022-10-07,720959.53
2022-10-10,721225.23
2022-10-11,721491.02
2022-10-12,721756.92
2022-10-13,722022.90
2022-10-14,722288.99
2022-10-17,722555.18
2022-10-18,722821.46
2022-10-19,723087.84
2022-10-20,723354.32
2022-10-21,723620.90
2022-10-24,723887.58
2022-10-25,724154.35
2022-10-26,724421.23
2022-10-27,724688.20
2022-10-28,724955.27
2022-10-31,725222.44
2022-11-01,735502.95
2022-11-02,735783.57
2022-11-03,736064.29
2022-11-04,736345.13
2022-11-07,736626.07
2022-11-08,736907.11
2022-11-09,737188.27
2022-11-10,737469.53
2022-11-11,737750.90
2022-11-14,738032.37
2022-11-15,738313.96
2022-11-16,738595.65
2022-11-17,738877.45
2022-11-18,739159.35
2022-11-21,739441.37
2022-11-22,739723.49
2022-11-23,740005.72
2022-11-24,740288.06
2022-11-25,740570.50
2022-11-28,740853.05
2022-11-29,741135.71
2022-11-30,741418.48
2022-12-01,751715.18
2022-12-02,752012.00
2022-12-05,752308.93
2022-12-06,752605.98
2022-12-07,752903.15
2022-12-08,753200.44
2022-12-09,753497.84
2022-12-12,753795.36
2022-12-13,754093.00
2022-12-14,754390.75
2022-12-15,754688.63
2022-12-16,754986.62
2022-12-19,755284.73
2022-12-20,755582.95
2022-12-21,755881.30
2022-12-22,756179.76
2022-12-23,756478.34
2022-12-26,756777.04
2022-12-27,757075.85
2022-12-28,757374.79
2022-12-29,757673.84
2022-12-30,757973.01
2023-01-02,768281.76
2023-01-03,768590.63
2023-01-04,768899.63
2023-01-05,769208.76
2023-01-06,769518.01
